Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Buch;Belief;Plausibility;Zweifel
0;19-24;m;nein;0;keiner;Angestellter;3000-3999;Buch_C;0.9999999999999952;0.9999999999999892;1.0769163338864018E-14
1;25-35;m;nein;1;Realschule;Arbeitslos;1000-1999;Buch_C;1.0000000000000007;1.0;0.0
2;36-49;m;nein;0;Hochschule;Angestellter;3000-3999;Buch_C;1.0000000000000002;1.0;0.0
3;25-35;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_C;1.0000000000000004;1.0;0.0
4;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C;1.0000000000000293;1.0;0.0
5;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_A;0.7326481927536994;0.732648192753693;0.267351807246307
6;19-24;w;ja;1;Hauptschule;Arbeitslos;1000-1999;Buch_B;0.984469149031898;0.9844691490318943;0.015530850968105692
7;25-35;w;ja;1;Hochschule;Arbeitslos;<1000;Buch_C;1.0000000000000016;1.0;0.0
8;<18;w;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.8516259117550418;0.851625911755038;0.148374088244962
9;19-24;w;nein;0;keiner;Selbstaendig;1000-1999;Buch_B;0.5220373464919762;0.5220373464919743;0.4779626535080257
10;50-65;m;nein;0;Promotion;Fuehrungskraft;5000 und mehr;Buch_C;1.0;1.0;0.0
11;<18;m;nein;0;Realschule;Angestellter;3000-3999;Buch_C;0.9999999999999994;0.9999999999999993;6.661338147750939E-16
12;<18;w;ja;1;keiner;Arbeitslos;<1000;Buch_A;0.9671890289045258;0.9671890289045174;0.03281097109548259
13;36-49;m;nein;0;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000002;1.0;0.0
14;36-49;w;ja;2;Hochschule;Arbeiter;1000-1999;Buch_C;1.0000000000000084;1.0;0.0
15;36-49;w;ja;0;Realschule;Angestellter;1000-1999;Buch_C;1.0000000000000058;0.9999999999999979;2.1094237467877974E-15
16;36-49;w;nein;0;Hochschule;Hausfrau;3000-3999;Buch_C;1.0000000000000135;1.0;0.0
17;25-35;m;nein;1;Hochschule;Angestellter;3000-3999;Buch_C;1.0000000000000007;1.0;0.0
